url,url_lane,url_primary_cluster,url_keyword_count,url_best_rank,url_best_rank_keyword,url_volume_min_sum,url_volume_max_sum,url_rising_count,url_declining_count,url_stable_count,url_protect_count,url_improve_count,url_opportunity_count,keyword,keyword_cluster,keyword_secondary_clusters,keyword_lane,labels,best_rank,bucket,rank_on_this_url,change_on_this_url,direction_on_this_url,desktop_rank,desktop_change,desktop_direction,desktop_url,mobile_rank,mobile_change,mobile_direction,mobile_url,volume_min,volume_max,engine_url_split,engines_on_this_url,evidence_date
https://bigorange.marketing/marketing-agency-for-builders/,builder-pilot,home-builder,17,1,marketing agency for builders,287,750,6,4,7,13,1,3,builder advertising and marketing,home-builder,,builder-pilot,,14,opportunity_11_20,14,-10,declining,14,-10,declining,https://bigorange.marketing/marketing-agency-for-builders/,17,-13,declining,https://bigorange.marketing/marketing-agency-for-builders/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/marketing-agency-for-builders/,builder-pilot,home-builder,17,1,marketing agency for builders,287,750,6,4,7,13,1,3,home builder marketing firm,home-builder,,builder-pilot,,14,opportunity_11_20,14,-1,declining,15,-2,declining,https://bigorange.marketing/marketing-agency-for-builders/,14,-1,declining,https://bigorange.marketing/marketing-agency-for-builders/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,msp marketing resources,msp-it,,rest-of-site,,5,improve_4_10,5,0,stable,5,0,stable,https://bigorange.marketing/msp-marketing-resources/,5,1,rising,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,msp advertising,msp-it,,rest-of-site,,11,opportunity_11_20,11,-4,declining,11,-4,declining,https://bigorange.marketing/msp-marketing-resources/,11,-4,declining,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,msp marketing ideas,msp-it,,rest-of-site,,11,opportunity_11_20,11,0,stable,11,0,stable,https://bigorange.marketing/msp-marketing-resources/,12,1,rising,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,msp marketing tools,msp-it,,rest-of-site,,11,opportunity_11_20,11,-1,declining,11,-1,declining,https://bigorange.marketing/msp-marketing-resources/,13,0,stable,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,msp resources,msp-it,,rest-of-site,,11,opportunity_11_20,11,1,rising,,> -10,declining,,11,1,rising,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,marketing msp,msp-it,,rest-of-site,,12,opportunity_11_20,12,0,stable,12,0,stable,https://bigorange.marketing/msp-marketing-resources/,14,-3,declining,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,msp marketing kit,msp-it,,rest-of-site,,12,opportunity_11_20,12,> 9,rising,12,> 9,rising,https://bigorange.marketing/msp-marketing-resources/,12,-5,declining,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,marketing strategy for msp,msp-it,,rest-of-site,,13,opportunity_11_20,13,4,rising,,> -8,declining,,13,4,rising,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,What is MSP marketing?,msp-it,,rest-of-site,msp pillar strategy,13,opportunity_11_20,13,0,stable,13,0,stable,https://bigorange.marketing/msp-marketing-resources/,,> -7,declining,,0,10,False,google-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,msp marketing,msp-it,,rest-of-site,,14,opportunity_11_20,14,-2,declining,14,-2,declining,https://bigorange.marketing/msp-marketing-resources/,17,-5,declining,https://bigorange.marketing/msp-marketing-resources/,201,500,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,what is msp marketing,msp-it,,rest-of-site,,14,opportunity_11_20,14,0,stable,,> -8,declining,,14,0,stable,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,marketing for msps,msp-it,,rest-of-site,,15,opportunity_11_20,15,-3,declining,15,-3,declining,https://bigorange.marketing/msp-marketing-resources/,15,-3,declining,https://bigorange.marketing/msp-marketing-resources/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,msp marketing resources,311,1020,3,5,5,0,1,12,How-to Guide for MSP Marketing,msp-it,,rest-of-site,,16,opportunity_11_20,16,-1,declining,16,-1,declining,https://bigorange.marketing/msp-marketing-resources/,16,-1,declining,https://bigorange.marketing/msp-marketing-resources/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,storybrand examples,175,430,2,1,5,5,3,0,storybrand examples,storybrand,,rest-of-site,,1,protect_1_3,1,0,stable,1,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,1,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,storybrand examples,175,430,2,1,5,5,3,0,What are examples of StoryBrand Website?,storybrand,,rest-of-site,pillar strategy,1,protect_1_3,1,0,stable,1,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,3,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,storybrand examples,175,430,2,1,5,5,3,0,storybrand website examples,storybrand,,rest-of-site,pillar strategy,2,protect_1_3,2,-1,declining,2,-1,declining,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,3,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,51,100,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,storybrand examples,175,430,2,1,5,5,3,0,storybrand brandscript examples,storybrand,,rest-of-site,,3,protect_1_3,3,1,rising,4,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,3,1,rising,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
