page,clicks,impressions,ctr_pct,avg_position
https://barcrawlusa.com/duluth-bar-crawls/,80,15762,0.51,7.7
https://barcrawlusa.com/columbia-sc-bar-crawl-st-patricks-day-2026/,77,2830,2.72,11.5
https://barcrawlusa.com/event/cleveland-boos-booze-halloween-bar-crawl-west-park-bars/,73,2536,2.88,15.3
https://barcrawlusa.com/event/macon-st-paddy-shamrock-bar-crawl-march-14th/,73,1096,6.66,10.3
https://barcrawlusa.com/event/9th-annual-atlanta-taco-tequila-bar-crawl-june-6th/,70,1292,5.42,10.6
https://barcrawlusa.com/atlanta-bar-crawl-in-roswell-st-patricks-day-2026/,66,2970,2.22,8.8
https://barcrawlusa.com/greenville-bar-crawl-st-patricks-day-2026/,66,2995,2.2,13.1
https://barcrawlusa.com/bubbles-bites-brunch-crawl/,59,407,14.5,6.6
https://barcrawlusa.com/event/roswell-boos-booze-halloween-bar-crawl-2/,55,648,8.49,14.3
https://barcrawlusa.com/event/sarasota-boos-booze-halloween-bar-crawl/,53,653,8.12,16.5
https://barcrawlusa.com/event_listing_category/duluth-bar-crawl/,53,388,13.66,8.1
https://barcrawlusa.com/event/portland-boos-booze-halloween-bar-crawl/,52,2090,2.49,12.5
https://barcrawlusa.com/event/sarasota-taco-tequila-bar-crawl-5th-annual/,50,1489,3.36,13.0
https://barcrawlusa.com/bar-crawl-bingo/,48,17301,0.28,4.6
https://barcrawlusa.com/event/cincinnati-boos-booze-halloween-bar-crawl/,48,2210,2.17,16.0
https://barcrawlusa.com/event/greenville-boos-booze-halloween-bar-crawl/,48,1979,2.43,29.3
https://barcrawlusa.com/holiday-bar-party-bus/,46,4754,0.97,12.4
https://barcrawlusa.com/event/bubbles-bites-crawl-macon-ga/,45,175,25.71,4.5
https://barcrawlusa.com/event/alpharetta-bubbles-bites/,41,251,16.33,4.3
https://barcrawlusa.com/lawerenceville-taco-crawl-may-2-bar-crawl-usa/,39,713,5.47,6.9
https://barcrawlusa.com/event_listing_category/lawrenceville-bar-crawl/,37,865,4.28,5.9
https://barcrawlusa.com/event/summer-sippin-cocktail-bar-crawl-roswell-2/,36,1426,2.52,8.3
https://barcrawlusa.com/event/taco-tequila-crawl-soulard/,36,1324,2.72,10.8
https://barcrawlusa.com/the-best-halloween-cocktails-you-can-make-at-home/,35,4738,0.74,9.9
https://barcrawlusa.com/our-story/,34,25714,0.13,10.6
https://barcrawlusa.com/columbia-taco-tequila-crawl/,32,1431,2.24,12.2
https://barcrawlusa.com/event/columbia-boos-booze-halloween-bar-crawl/,31,973,3.19,15.3
https://barcrawlusa.com/knoxville-bar-crawls-2/,31,3233,0.96,12.8
https://barcrawlusa.com/event_listing_type/st-patricks-bar-crawl/,30,1000,3.0,11.7
https://barcrawlusa.com/adult-onesies-are-the-new-style/,27,8446,0.32,9.0
https://barcrawlusa.com/event/4th-annual-columbia-st-paddy-shamrock-bar-crawl-march-14th/,25,711,3.52,12.9
https://barcrawlusa.com/event_listing_category/atlanta-bar-crawl/,25,2188,1.14,22.5
https://barcrawlusa.com/event/lakewood-taco-tequila-bar-crawl-usa-may-17th-cleveland-oh/,24,437,5.49,7.8
https://barcrawlusa.com/event/st-pete-boos-booze-halloween-bar-crawl/,24,1091,2.2,24.1
https://barcrawlusa.com/taco-tequila-bar-crawl-indy-sc-april-25-2026/,24,901,2.66,8.8
https://barcrawlusa.com/event/birmingham-boos-booze-halloween-bar-crawl/,23,1714,1.34,21.8
https://barcrawlusa.com/event/duluth-tequila-bar-crawl-2nd-annual/,23,832,2.76,11.4
https://barcrawlusa.com/event/the-crawl-that-must-not-be-named-cleveland-bar-crawl/,23,1709,1.35,6.5
https://barcrawlusa.com/halloween-bar-crawl-by-bar-crawl-usa/,23,4929,0.47,10.6
https://barcrawlusa.com/the-best-atlanta-bar-crawls/,23,5221,0.44,20.0
https://barcrawlusa.com/event/gainesville-ga-boos-booze-halloween-bar-crawl/,22,1659,1.33,28.3
https://barcrawlusa.com/event_listing_category/birmingham-bar-crawl/,22,1593,1.38,9.8
https://barcrawlusa.com/23-special-valentines-day-cocktails/,21,2024,1.04,25.6
https://barcrawlusa.com/event_listing_category/alpharetta-bar-crawl/,21,860,2.44,7.0
https://barcrawlusa.com/sarasota-events-this-weekend-taco-tequila-crawl-bar-crawl-usa/,21,455,4.62,8.8
https://barcrawlusa.com/boos-booze-halloween-bar-crawl/,18,2381,0.76,28.0
https://barcrawlusa.com/event/6th-annual-fort-worth-taco-tequila-bar-crawl-april-25th/,18,472,3.81,13.1
https://barcrawlusa.com/how-to-master-the-taco-tequila-bar-crawl/,18,2274,0.79,9.3
https://barcrawlusa.com/boozy-brunch-bar-crawl/,17,551,3.09,9.2
https://barcrawlusa.com/event/asheville-boos-booze-halloween-bar-crawl/,17,2750,0.62,22.7
https://barcrawlusa.com/how-to-be-a-taco-tequila-bar-crawl-expert-2/,17,2536,0.67,9.7
https://barcrawlusa.com/event/7th-annual-st-pete-taco-tequila-bar-crawl-april-25th/,16,511,3.13,9.9
https://barcrawlusa.com/event/the-mini-masters-at-rigbys/,14,128,10.94,6.4
https://barcrawlusa.com/how-does-the-taco-tequila-bar-crawl-work/,14,2905,0.48,8.3
https://barcrawlusa.com/columbia-bar-crawl-taco-tequila-edition-april-25-2026/,13,328,3.96,7.6
https://barcrawlusa.com/event/macon-boos-booze-halloween-bar-crawl/,13,383,3.39,11.8
https://barcrawlusa.com/event/4th-annual-westside-food-booze-brews-fest-feb-21st/,12,558,2.15,8.0
https://barcrawlusa.com/event/portland-taco-tequila-bar-crawl-6th-annual/,12,670,1.79,14.0
https://barcrawlusa.com/event/sarasota-boos-booze-halloween-bar-crawl-2/,12,1183,1.01,20.8
https://barcrawlusa.com/event_listing_category/greenville-bar-crawl/,12,1011,1.19,18.0
https://barcrawlusa.com/cleveland-bar-crawls-since-2015-bar-crawl-usa/,11,1930,0.57,12.5
https://barcrawlusa.com/event/fort-worth-boos-booze-halloween-bar-crawl/,11,1624,0.68,24.8
https://barcrawlusa.com/event/soulard-summer-taco-tequila-bar-crawl/,11,342,3.22,11.4
https://barcrawlusa.com/event/westside-food-booze-brews-fest-3rd-annual-feb-22nd/,11,589,1.87,8.5
https://barcrawlusa.com/event_listing_category/gainesville-bar-crawl/,11,280,3.93,10.5
https://barcrawlusa.com/contact-us/,10,2278,0.44,19.2
https://barcrawlusa.com/event/knoxville-boos-booze-halloween-bar-crawl/,10,2675,0.37,15.2
https://barcrawlusa.com/st-petersburg-bar-crawl-taco-tequila-april-25-bar-crawl-usa/,10,145,6.9,5.3
https://barcrawlusa.com/20-fall-cocktails-recipes-to-enjoy-by-the-fireplace/,9,1974,0.46,59.4
https://barcrawlusa.com/author/andy/,9,222,4.05,8.1
https://barcrawlusa.com/event/alpharetta-fall-cocktail-crawl/,9,502,1.79,16.4
https://barcrawlusa.com/event/atlanta-beltline-ugly-sweater-bar-crawl/,9,351,2.56,23.1
https://barcrawlusa.com/event_listing_category/cincinnati-bar-crawl/,9,882,1.02,15.7
https://barcrawlusa.com/event_listing_category/sarasota-bar-crawl/,9,499,1.8,9.5
https://barcrawlusa.com/what-is-a-bar-crawl-with-bar-crawl-usa/,9,8777,0.1,4.6
https://barcrawlusa.com/event/atlanta-beltline-halloween-bar-crawl-october-31/,8,1709,0.47,14.1
https://barcrawlusa.com/event/roswell-boos-booze-halloween-bar-crawl-2025/,8,1153,0.69,40.8
https://barcrawlusa.com/event/roswell-taco-tequila-bar-crawl-2nd-annual-april-12-by-bar-crawl-usa/,8,568,1.41,16.0
https://barcrawlusa.com/event_listing_category/soulard-bar-crawl/,8,382,2.09,14.4
https://barcrawlusa.com/portland-me-halloween-bar-crawl-2026/,8,117,6.84,6.2
https://barcrawlusa.com/what-to-expect-at-a-st-patricks-day-bar-crawl/,8,776,1.03,14.0
https://barcrawlusa.com/atlanta-halloween-bar-crawls-2026/,7,177,3.95,10.2
https://barcrawlusa.com/event/lakewood-ugly-sweater-bar-crawl/,7,334,2.1,28.4
https://barcrawlusa.com/event/mardi-gras-bar-party-bus-tour/,7,153,4.58,7.6
https://barcrawlusa.com/event/roswell-ugly-sweater-bar-crawl/,7,95,7.37,34.9
https://barcrawlusa.com/event/sarasota-ugly-sweater-bar-crawl/,7,327,2.14,20.5
https://barcrawlusa.com/event/soulard-boozy-brunch-crawl-2nd-annual/,7,645,1.09,26.1
https://barcrawlusa.com/food-booze-brews-fest/,7,584,1.2,12.5
https://barcrawlusa.com/taco-tequila-bar-crawl-april-25th-9-cities-tacos-margaritas-2/,7,114,6.14,7.3
https://barcrawlusa.com/asheville-taco-tequila-crawl/,6,299,2.01,26.3
https://barcrawlusa.com/atlanta-taco-tequila-bar-crawl-9th-annual-june-6-2026/,6,123,4.88,6.4
https://barcrawlusa.com/event/atlanta-beltline-ugly-sweater-bar-crawl-11th-annual/,6,1164,0.52,23.0
https://barcrawlusa.com/mardi-gras-bar-party-bus-tour/,6,585,1.03,19.2
https://barcrawlusa.com/roswell-ga-halloween-bar-crawl-2026/,6,90,6.67,5.5
https://barcrawlusa.com/st-pete-halloween-bar-crawl-2026/,6,97,6.19,6.6
https://barcrawlusa.com/chattanooga-bar-crawl-taco-tequila-edition/,5,489,1.02,10.1
https://barcrawlusa.com/columbus-taco-tequila-crawl/,5,292,1.71,20.6
https://barcrawlusa.com/event/gainesville-ga-ugly-sweater-bar-crawl/,5,513,0.97,19.1
https://barcrawlusa.com/event/lakewood-ugly-sweater-bar-crawl-9th-annual/,5,307,1.63,12.9
https://barcrawlusa.com/event/macon-boos-booze-halloween-bar-crawl-2/,5,529,0.95,28.5
https://barcrawlusa.com/taco-and-tequila-crawl-greenville-sc-april-25-bar-crawl-usa/,5,216,2.31,7.0
https://barcrawlusa.com/the-crawl-that-must-not-be-named/,5,224,2.23,9.7
https://barcrawlusa.com/why-people-choose-organized-st-patricks-bar-crawls/,5,910,0.55,26.4
https://barcrawlusa.com/birmingham-taco-tequila-crawl/,4,907,0.44,12.6
https://barcrawlusa.com/cincinnati-halloween-bar-crawl-2026/,4,233,1.72,3.9
https://barcrawlusa.com/cincinnati-taco-tequila-crawl/,4,264,1.52,18.2
https://barcrawlusa.com/cocktail-crawl/,4,602,0.66,11.3
https://barcrawlusa.com/event/atlanta-boozy-brunch/,4,268,1.49,12.3
https://barcrawlusa.com/event/columbia-ugly-sweater-bar-crawl/,4,46,8.7,15.0
https://barcrawlusa.com/event/columbus-ugly-sweater-bar-crawl-8th-annual/,4,247,1.62,23.1
https://barcrawlusa.com/event/holiday-bar-party-bus/,4,514,0.78,17.0
https://barcrawlusa.com/event/the-crawl-that-must-not-be-named-cincinnati/,4,182,2.2,15.7
https://barcrawlusa.com/event_listing_category/cleveland-bar-crawl/,4,335,1.19,15.8
https://barcrawlusa.com/event_listing_category/portland-bar-crawl/,4,545,0.73,25.4
https://barcrawlusa.com/event_listing_category/st-pete-bar-crawl/,4,846,0.47,20.6
https://barcrawlusa.com/macon-ga-halloween-bar-crawl-2026/,4,71,5.63,6.8
https://barcrawlusa.com/sarasota-halloween-bar-crawl-2026/,4,62,6.45,5.7
https://barcrawlusa.com/sarasota-taco-tequila-crawl/,4,359,1.11,20.8
https://barcrawlusa.com/alpharetta-taco-tequila-crawl/,3,329,0.91,13.0
https://barcrawlusa.com/bar-crawl-fort-worth-taco-tequila-april-25-bar-crawl-usa/,3,71,4.23,5.3
https://barcrawlusa.com/cleveland-halloween-bar-crawls-2026/,3,176,1.7,8.4
https://barcrawlusa.com/columbia-sc-halloween-bar-crawl-2026/,3,72,4.17,5.7
https://barcrawlusa.com/elementor-4527/,3,929,0.32,6.8
https://barcrawlusa.com/event-type/bubbles-bites-brunch-crawl/,3,248,1.21,6.4
https://barcrawlusa.com/event/alpharetta-ugly-sweater-bar-crawl/,3,263,1.14,16.7
https://barcrawlusa.com/event/birmingham-ugly-sweater-crawl/,3,93,3.23,23.5
https://barcrawlusa.com/event/greenville-ugly-sweater-bar-crawl/,3,89,3.37,49.4
https://barcrawlusa.com/event/topside-tap-trail-brewery-crawl-alpharetta-roswell-sandy-springs/,3,60,5.0,31.1
https://barcrawlusa.com/event_listing_category/roswell-bar-crawl/,3,66,4.55,16.4
https://barcrawlusa.com/event_listing_type/taco-tequila-crawl/,3,134,2.24,9.3
https://barcrawlusa.com/magically-delicious-harry-potter-cocktails/,3,923,0.33,13.2
https://barcrawlusa.com/portland-taco-festival-taco-tequila-crawl-april-25/,3,61,4.92,6.6
